version,fork,shape,size,ns,bytes,count,equivalent
current,2,deep_unary,1024,108504.762,145400,1,true
current,2,where_positional,128,42284.717,39944,128,true
current,2,where_positional,16,5981.152,5680,16,true
current,2,array_named,256,13072.062,26440,256,true
current,2,quoted_and_comments,2,1835.986,1432,2,true
current,2,join_mybatis,4,5134.375,6688,4,true
current,2,where_named,16,6000.781,9632,16,true
current,2,deep_unary,256,29937.383,37560,1,true
current,2,json_operator,1,1755.518,1320,1,true
current,2,jdbc_escape,1,1515.576,1368,1,true
current,2,array_named,4096,211771.875,453056,4096,true
current,2,array_mybatis,1024,102653.125,280920,1024,true
current,2,array_positional,1024,6936.128,14968,1024,true
current,2,array_mybatis,256,25540.617,58232,256,true
current,2,array_mybatis,8192,813571.429,2165994.857,8192,true
current,2,bare_concat,4096,206235.484,158072,4096,true
current,2,where_named,2,1401.025,2032,2,true
current,2,geometric_cast,1,1183.789,1088,1,true
current,2,array_mybatis,4096,404870.370,1037720,4096,true
current,2,join_positional,4,3866.357,4008,4,true
current,2,array_named,1024,51675.152,104680,1024,true
current,2,array_positional,8192,63916.568,213752,8192,true
current,2,where_mybatis,2,2103.418,3024,2,true
current,2,bare_concat,1024,54150.980,46440,1024,true
current,2,deep_unary,4096,444852.941,576664,1,true
current,2,bare_concat,8192,427445,449938.800,8192,true
current,2,no_parameters,0,1229.736,1184,0,true
current,2,array_positional,4096,25863.456,57976,4096,true
current,2,where_positional,2,1601.367,1624,2,true
current,2,join_named,4,3684.717,4392,4,true
current,2,array_positional,256,2400.902,4216,256,true
current,2,json_constructor,1,1335.693,1336,1,true
current,2,cached_positional_same,2,13.607,0,2,true
current,2,cached_positional_equal,2,17.556,0,2,true
current,2,cached_named_same,2,13.871,0,2,true
current,2,cached_named_equal,2,17.626,0,2,true
current,3,deep_unary,256,27977.316,37560,1,true
current,3,array_named,4096,206609.091,453056,4096,true
current,3,quoted_and_comments,2,1667.383,1432,2,true
current,3,array_named,1024,48864.516,104680,1024,true
current,3,geometric_cast,1,1096.680,1088,1,true
current,3,where_positional,128,42091.650,39944,128,true
current,3,array_named,256,11899.367,26440,256,true
current,3,array_mybatis,1024,101776.344,280920,1024,true
current,3,no_parameters,0,1062.451,1184,0,true
current,3,json_operator,1,1435.498,1320,1,true
current,3,where_mybatis,16,10745.654,18040,16,true
current,3,array_positional,256,2502.824,4216,256,true
