version,case,forks,median_ns,min_fork_ns,max_fork_ns,bytes_per_op,equivalent_results
current,read_large,5,43989.429,42652.39,46353.493,27200,true
baseline,read_literal,5,3661.268,3562.164,4043.987,4032,true
baseline-control,read_literal,3,3627.468,3527.382,3955.162,4032,true
before,read_literal,1,4384.738,4384.738,4384.738,5424,true
current,read_literal,5,719.328,697.921,818.952,672,true
baseline,read_multiple,5,2499.866,2410.256,2592.406,4352,true
baseline-control,read_multiple,3,2481.252,2455.289,2733.07,4352,true
before,read_multiple,1,2847.356,2847.356,2847.356,5360,true
current,read_multiple,5,557.7,516.031,762.476,584,true
baseline,read_mutation,5,313.753,304.038,395.844,520,true
baseline-control,read_mutation,3,324.767,313.559,327.993,520,true
before,read_mutation,1,294.887,294.887,294.887,712,true
current,read_mutation,5,245.311,231.506,286.448,200,true
baseline,read_mysql_dash,5,335.145,327.785,414.785,544,true
baseline-control,read_mysql_dash,3,329.76,322.791,330.076,544,true
before,read_mysql_dash,1,312.838,312.838,312.838,736,true
current,read_mysql_dash,5,295.296,276.922,306.532,400,true
baseline,read_quoted_large,5,278495.89,261193.103,286177.465,107904,true
baseline-control,read_quoted_large,3,279018.571,265117.333,284264.474,107904,true
before,read_quoted_large,1,364452.459,364452.459,364452.459,248656,true
current,read_quoted_large,5,9837.728,9260.969,10979.226,26736,true
baseline,read_simple,5,6027.513,5923.045,7498.23,7392,true
baseline-control,read_simple,3,5928.576,5724.905,5965.928,7392,true
before,read_simple,1,7467.608,7467.608,7467.608,11280,true
current,read_simple,5,1466.016,1418.588,1648.738,1344,true
baseline,read_upsert,5,146.211,144.103,153.561,344,true
baseline-control,read_upsert,3,147.571,144.722,151.903,344,true
before,read_upsert,1,160.846,160.846,160.846,440,true
current,read_upsert,5,13.258,12.296,18.813,0,true
baseline,select_ambiguous,5,473.732,434.847,476.674,1056,true
baseline-control,select_ambiguous,3,444.493,437.107,463.449,1056,true
before,select_ambiguous,1,453.435,453.435,453.435,1296,true
current,select_ambiguous,5,21.85,18.512,24.752,48,true
baseline,select_cte,5,2623.925,2565.411,2782.111,4896,true
baseline-control,select_cte,3,2634.318,2624.858,2748.183,4896,true
before,select_cte,1,2551.422,2551.422,2551.422,4944,true
current,select_cte,5,643.021,607.315,686.763,1080,true
baseline,select_parenthesized,5,452.02,440.401,477.78,896,true
