version,case,fork,ns,bytes
baseline-control,select_simple,2,634.586,1440
baseline-control,select_simple,3,606.67,1440
baseline-control,classify_insert,1,379.967,896
baseline-control,classify_insert,2,396.355,896
baseline-control,classify_insert,3,372.356,896
baseline-control,config_custom,1,2868.469,10288
baseline-control,config_custom,2,3001.983,10288
baseline-control,config_custom,3,3071.13,10288
baseline-control,read_insert_quoted_large,1,358916.667,110528
baseline-control,read_insert_quoted_large,2,380769.492,110528
baseline-control,read_insert_quoted_large,3,356520.635,110528
baseline-control,index_missing,1,48370.386,50728
baseline-control,index_missing,2,50994.157,50728
baseline-control,index_missing,3,48321.889,50728
baseline-control,end_mybatis_single,1,27.843,0
baseline-control,end_mybatis_single,2,29.434,0
baseline-control,end_mybatis_single,3,35.009,0
baseline-control,end_hash,1,476.802,288
baseline-control,end_hash,2,500.148,288
baseline-control,end_hash,3,340.298,288
baseline-control,next_hash,1,471.087,336
baseline-control,next_hash,2,492.854,336
baseline-control,next_hash,3,365.333,336
baseline-control,tokenize_custom,1,1379.513,600
baseline-control,tokenize_custom,2,1369.514,600
baseline-control,tokenize_custom,3,1342.769,600
baseline-control,tokenize_comments,1,3309.365,2464
baseline-control,tokenize_comments,2,3222.125,2464
baseline-control,tokenize_comments,3,2864.347,2464
baseline-control,next_custom,1,242.195,48
baseline-control,next_custom,2,238.192,48
baseline-control,next_custom,3,129.665,48
baseline-control,next_mybatis_single,1,46.086,48
baseline-control,next_mybatis_single,2,55.784,48
baseline-control,next_mybatis_single,3,62.192,48
baseline-control,read_insert,1,93.774,224
baseline-control,read_insert,2,94.476,224
baseline-control,read_insert,3,98.005,224
baseline-control,walk_bounds_large,1,43216.795,0
baseline-control,walk_bounds_large,2,39370.778,0
baseline-control,walk_bounds_large,3,44693.671,0
baseline-control,next_hash_operator,1,245.891,48
baseline-control,next_hash_operator,2,252.066,48
baseline-control,next_hash_operator,3,129.797,48
baseline-control,index_sensitive,1,412.559,480
baseline-control,index_sensitive,2,430.061,480
baseline-control,index_sensitive,3,440.39,480
baseline-control,tokenize_large,1,52869.175,38120
baseline-control,tokenize_large,2,50759.045,38120
baseline-control,tokenize_large,3,48440.506,38120
baseline-control,end_hash_operator,1,166.881,0
baseline-control,end_hash_operator,2,175.746,0
baseline-control,end_hash_operator,3,114.393,0
baseline-control,read_insert_simple,1,11747.298,16928
baseline-control,read_insert_simple,2,11860.145,16928
baseline-control,read_insert_simple,3,11294.729,16928
baseline-control,read_insert_executable_comment,1,114.985,248
baseline-control,read_insert_executable_comment,2,116.801,248
baseline-control,read_insert_executable_comment,3,114.692,248
baseline-control,read_insert_mutation,1,331.342,520
baseline-control,read_insert_mutation,2,333.574,520
baseline-control,read_insert_mutation,3,312.136,520
baseline-control,walk_tokens_large,1,116740.761,25792
baseline-control,walk_tokens_large,2,120283.14,25792
baseline-control,walk_tokens_large,3,96387.727,25792
baseline-control,select_parenthesized,1,449.582,896
baseline-control,select_parenthesized,2,452.431,896
baseline-control,select_parenthesized,3,439.549,896
baseline-control,next_trivia,1,95.083,48
baseline-control,next_trivia,2,111.107,48
baseline-control,next_trivia,3,119.241,48
baseline-control,next_word,1,55.381,48
baseline-control,next_word,2,62.604,48
baseline-control,next_word,3,74.089,48
baseline-control,tokenize_long_quote,1,48782.488,17672
baseline-control,tokenize_long_quote,2,43691.068,17672
baseline-control,tokenize_long_quote,3,48641.93,17672
baseline-control,tokenize_simple,1,1194.293,1216
baseline-control,tokenize_simple,2,1137.548,1216
baseline-control,tokenize_simple,3,1082.52,1216
baseline-control,walk_bounds_hash,1,119888.889,127008
baseline-control,walk_bounds_hash,2,115299.441,127008
baseline-control,walk_bounds_hash,3,116205.464,127008
baseline-control,walk_tokens_hash,1,234264.912,255456
baseline-control,walk_tokens_hash,2,256183.051,255456
baseline-control,walk_tokens_hash,3,230314.286,255456
baseline-control,tokenize_dense_concat_256,1,10632.709,2200
baseline-control,tokenize_dense_concat_256,2,11804.149,2200
baseline-control,tokenize_dense_concat_256,3,10508.371,2200
baseline-control,classify_replace,1,135.115,192
baseline-control,classify_replace,2,130.831,192
baseline-control,classify_replace,3,124.146,192
baseline-control,next_quote,1,19216.081,8760
baseline-control,next_quote,2,19494.026,8760
baseline-control,next_quote,3,19183.209,8760
baseline-control,tokenize_dense_concat_8192,1,335663.636,61720
baseline-control,tokenize_dense_concat_8192,2,329932.308,61720
baseline-control,tokenize_dense_concat_8192,3,313230.909,61720
baseline-control,read_insert_upsert,1,2017.748,2696
baseline-control,read_insert_upsert,2,2019.83,2696
baseline-control,read_insert_upsert,3,1972.856,2696
baseline-control,tokenize_array,1,12030.841,4248
baseline-control,tokenize_array,2,10913.002,4248
baseline-control,tokenize_array,3,11573.514,4248
baseline-control,index_custom_composite,1,1081.087,792
baseline-control,index_custom_composite,2,1169.246,792
baseline-control,index_custom_composite,3,1152.543,792
baseline-control,walk_bounds_simple,1,834.034,0
baseline-control,walk_bounds_simple,2,793.665,0
baseline-control,walk_bounds_simple,3,947.215,0
baseline-control,tokenize_tiny,1,113.416,200
baseline-control,tokenize_tiny,2,119.303,200
baseline-control,tokenize_tiny,3,97.114,200
baseline-control,read_insert_hash,1,2476366.667,2562784
baseline-control,read_insert_hash,2,2452833.333,2562784
baseline-control,read_insert_hash,3,2339233.333,2562784
baseline-control,config_default,1,2719.551,9880
baseline-control,config_default,2,2786.216,9880
baseline-control,config_default,3,3060.228,9880
baseline-control,classify_delete,1,387.51,960
baseline-control,classify_delete,2,397.719,960
baseline-control,classify_delete,3,392.19,960
baseline-control,index_quoted,1,54269.697,17664
baseline-control,index_quoted,2,54230.352,17664
baseline-control,index_quoted,3,53910.714,17664
baseline-control,index_from_inside_quote,1,349.208,464
baseline-control,index_from_inside_quote,2,373.381,464
baseline-control,index_from_inside_quote,3,373.887,464
baseline-control,read_executable_comment,1,112.153,248
baseline-control,read_executable_comment,2,113.656,248
baseline-control,read_executable_comment,3,112.733,248
baseline-control,read_mutation,1,327.993,520
baseline-control,read_mutation,2,324.767,520
baseline-control,read_mutation,3,313.559,520
baseline-control,index_composite_comments,1,597.378,792
baseline-control,index_composite_comments,2,647.192,792
baseline-control,index_composite_comments,3,692.024,792
baseline-control,read_large,1,154116.667,140992
baseline-control,read_large,2,159693.182,140992
baseline-control,read_large,3,150359.355,140992
baseline-control,read_upsert,1,151.903,344
baseline-control,read_upsert,2,147.571,344
baseline-control,read_upsert,3,144.722,344
baseline-control,tokenize_dense_concat_4096,1,164410.687,31000
baseline-control,tokenize_dense_concat_4096,2,164563.158,31000
baseline-control,tokenize_dense_concat_4096,3,163169.767,31000
baseline-control,read_literal,1,3627.468,4032
baseline-control,read_literal,2,3955.162,4032
baseline-control,read_literal,3,3527.382,4032
baseline-control,read_insert_insert,1,4553.149,7168
