version,case,fork,ns,bytes
baseline-control,read_mysql_dash,3,315.603,544
baseline-control,end_word,1,36.898,0
baseline-control,end_word,2,36.438,0
baseline-control,end_word,3,35.824,0
baseline-control,classify_update,1,354.077,864
baseline-control,classify_update,2,343.46,864
baseline-control,classify_update,3,347.418,864
baseline-control,read_insert_hash,1,2397888.889,2562784
baseline-control,read_insert_hash,2,2394155.556,2562784
baseline-control,read_insert_hash,3,2365733.333,2562784
baseline-control,select_cte,1,2612.207,4896
baseline-control,select_cte,2,2547.719,4896
baseline-control,select_cte,3,2602.531,4896
baseline-control,tokenize_simple,1,1218.229,1216
baseline-control,tokenize_simple,2,1109.653,1216
baseline-control,tokenize_simple,3,1155.139,1216
baseline-control,tokenize_keep_comments,1,4347.609,3504
baseline-control,tokenize_keep_comments,2,4481.453,3504
baseline-control,tokenize_keep_comments,3,4504.341,3504
baseline-control,index_early,1,157.552,120
baseline-control,index_early,2,168.464,120
baseline-control,index_early,3,169.565,120
baseline-control,tokenize_large,1,55050.259,38120
baseline-control,tokenize_large,2,51788.564,38120
baseline-control,tokenize_large,3,57543.548,38120
baseline-control,read_hash,1,1452644.444,1534112
baseline-control,read_hash,2,1452433.333,1534112
baseline-control,read_hash,3,1407928.571,1534016
baseline-control,tokenize_hash_rows,1,1891954.545,331144
baseline-control,tokenize_hash_rows,2,1723266.667,331144
baseline-control,tokenize_hash_rows,3,1706816.667,331144
baseline-control,index_composite_comments,1,575.205,792
baseline-control,index_composite_comments,2,584.471,792
baseline-control,index_composite_comments,3,600.158,792
baseline-control,index_composite,1,2220.885,2256
baseline-control,index_composite,2,2172.392,2256
baseline-control,index_composite,3,2251.921,2256
baseline-control,read_insert_literal,1,6172.309,7424
