version,fork,shape,size,ns,bytes,count,equivalent
before,3,cached_named_same,2,11.669,0,2,true
before,3,cached_named_equal,2,15.334,0,2,true
before,4,array_named,4096,339950,510400,4096,true
before,4,array_named,1024,75650,122336,1024,true
before,4,geometric_cast,1,2175,1400,1,true
before,4,array_named,8192,679800,1178932,8192,true
before,4,bare_concat,256,33415.625,13512,256,true
before,4,array_positional,256,55971.875,101168,256,true
before,4,join_mybatis,4,7418.408,8616,4,true
before,4,join_positional,4,8964.063,4312,4,true
before,4,deep_unary,1024,312412.500,147760,1,true
before,4,where_positional,16,14907.324,6128,16,true
before,4,json_constructor,1,2460.400,1576,1,true
before,4,no_parameters,0,1365.723,1400,0,true
before,4,array_mybatis,8192,1895950,2745516,8192,true
before,4,join_named,4,5943.066,5008,4,true
before,4,deep_unary,4096,1248000,585168,1,true
before,4,quoted_and_comments,2,2901.758,1608,2,true
before,4,array_mybatis,1024,228150,316088,1024,true
before,4,json_operator,1,2443.018,1536,1,true
before,4,where_named,16,11989.404,11552,16,true
before,4,where_positional,128,105309.961,42632,128,true
before,4,deep_unary,256,80850,38384,1,true
before,4,jdbc_escape,1,2591.211,1584,1,true
before,4,array_positional,1024,210812.500,418688,1024,true
before,4,where_positional,2,2907.959,1872,2,true
before,4,array_named,256,19215.625,30168,256,true
before,4,where_mybatis,2,3062.500,4008,2,true
before,4,array_positional,8192,1717000,3567740,8192,true
before,4,bare_concat,8192,952350,575580,8192,true
before,4,array_mybatis,4096,910700,1280428,4096,true
before,4,bare_concat,1024,122412.500,61056,1024,true
before,4,bare_concat,4096,484400,203160,4096,true
before,4,where_mybatis,16,18405.371,25368,16,true
before,4,array_mybatis,256,56321.875,65544,256,true
before,4,array_positional,4096,859700,1613680,4096,true
before,4,where_named,2,2209.863,2384,2,true
before,4,deep_unary,8192,2494200,1209356,1,true
before,4,cached_positional_same,2,12.417,0,2,true
before,4,cached_positional_equal,2,16.359,0,2,true
before,4,cached_named_same,2,12.126,0,2,true
before,4,cached_named_equal,2,23.310,0,2,true
before,5,deep_unary,1024,310900,147760,1,true
before,5,no_parameters,0,1372.949,1400,0,true
before,5,array_positional,1024,225000,418688,1024,true
before,5,where_positional,2,2870.068,1872,2,true
before,5,array_mybatis,4096,957600,1272216,4096,true
before,5,array_named,256,19309.375,30168,256,true
before,5,where_named,2,2233.838,2384,2,true
before,5,array_named,8192,687450,1178932,8192,true
before,5,array_positional,256,53600,101168,256,true
before,5,deep_unary,8192,2551950,1209356,1,true
before,5,where_mybatis,2,3010.693,4008,2,true
before,5,json_constructor,1,2444.434,1576,1,true
before,5,join_named,4,5726.270,5008,4,true
before,5,deep_unary,256,80365.625,38384,1,true
before,5,where_positional,128,104125.049,42632,128,true
before,5,array_mybatis,8192,1934500,2745516,8192,true
before,5,bare_concat,256,32625,14025.250,256,true
before,5,bare_concat,8192,955550,575580,8192,true
before,5,where_mybatis,16,18406.494,25368,16,true
before,5,array_named,4096,347100,510400,4096,true
before,5,join_positional,4,8293.994,4312,4,true
before,5,bare_concat,4096,482850,203160,4096,true
before,5,where_named,16,11940.088,11552,16,true
before,5,jdbc_escape,1,2613.135,1584,1,true
before,5,quoted_and_comments,2,2953.125,1608,2,true
before,5,array_mybatis,1024,241862.500,316088,1024,true
before,5,geometric_cast,1,2177.393,1400,1,true
before,5,array_mybatis,256,57493.750,65544,256,true
before,5,array_positional,8192,1838950,3567740,8192,true
before,5,where_positional,16,14459.082,6128,16,true
before,5,bare_concat,1024,126350,61056,1024,true
before,5,array_positional,4096,936050,1613680,4096,true
before,5,json_operator,1,2433.008,1536,1,true
before,5,array_named,1024,75925,122336,1024,true
before,5,deep_unary,4096,1227000,585168,1,true
before,5,join_mybatis,4,7281.299,8616,4,true
before,5,cached_positional_same,2,12.857,0,2,true
before,5,cached_positional_equal,2,15.326,0,2,true
before,5,cached_named_same,2,11.511,0,2,true
before,5,cached_named_equal,2,15.411,0,2,true
current,1,array_positional,4096,37350,58024,4096,true
current,1,array_mybatis,1024,105650,280920,1024,true
current,1,quoted_and_comments,2,1666.553,1592,2,true
current,1,array_named,4096,191650,453104,4096,true
current,1,no_parameters,0,1012.500,1232,0,true
current,1,where_positional,16,5701.318,5728,16,true
current,1,deep_unary,256,27768.750,37768,1,true
current,1,array_positional,1024,10475,15016,1024,true
current,1,array_named,256,12181.250,26488,256,true
current,1,json_constructor,1,1275.635,1384,1,true
current,1,where_positional,128,41334.912,39992,128,true
current,1,array_mybatis,8192,793700,2158956,8192,true
current,1,geometric_cast,1,1129.346,1296,1,true
current,1,array_positional,8192,71900,205588,8192,true
current,1,where_mybatis,2,1904.932,3024,2,true
current,1,bare_concat,256,14887.500,10568,256,true
current,1,where_positional,2,1345.313,1672,2,true
current,1,deep_unary,4096,459150,576872,1,true
current,1,array_positional,256,5453.125,4777.250,256,true
current,1,where_named,16,5834.082,9680,16,true
current,1,bare_concat,1024,57075,46488,1024,true
current,1,join_positional,4,3796.387,4056,4,true
current,1,deep_unary,8192,986950,1192868,1,true
current,1,array_mybatis,4096,412150,1037720,4096,true
current,1,where_named,2,1387.842,2080,2,true
current,1,array_mybatis,256,25415.625,58232,256,true
current,1,jdbc_escape,1,1464.844,1576,1,true
current,1,bare_concat,8192,438500,442596,8192,true
current,1,array_named,8192,404400,979308,8192,true
current,1,deep_unary,1024,112875,145608,1,true
current,1,bare_concat,4096,253150,158120,4096,true
current,1,array_named,1024,49937.500,104728,1024,true
current,1,join_mybatis,4,4741.309,6688,4,true
current,1,json_operator,1,1513.867,1528,1,true
current,1,where_mybatis,16,10382.031,18040,16,true
current,1,join_named,4,3547.852,4440,4,true
current,1,cached_positional_same,2,12.654,0,2,true
current,1,cached_positional_equal,2,16.590,0,2,true
current,1,cached_named_same,2,11.907,0,2,true
current,1,cached_named_equal,2,20.744,0,2,true
current,2,array_named,8192,426400,979308,8192,true
current,2,where_mybatis,16,10746.680,18040,16,true
current,2,deep_unary,8192,887100,1192868,1,true
current,2,bare_concat,256,14737.500,10568,256,true
current,2,deep_unary,1024,110225,145608,1,true
current,2,where_positional,128,43204.395,39992,128,true
current,2,where_positional,16,5829.443,5728,16,true
current,2,array_named,256,13187.500,26488,256,true
current,2,quoted_and_comments,2,1762.256,1592,2,true
