version,case,forks,median_ns,min_fork_ns,max_fork_ns,bytes_per_op,equivalent_results
current,select_simple,5,177.576,162.751,216.555,48,true
baseline,tokenize_array,5,10746.756,10242.77,13082.286,4248,true
baseline-control,tokenize_array,3,10318.876,10313.676,10401.995,4248,true
before,tokenize_array,1,2931.354,2931.354,2931.354,4248,true
current,tokenize_array,5,825.57,728.154,832.715,4248,true
baseline,tokenize_backslashes,5,365.665,324.15,489.38,488,true
baseline-control,tokenize_backslashes,3,351.388,314.753,419.825,488,true
before,tokenize_backslashes,1,301.405,301.405,301.405,488,true
current,tokenize_backslashes,5,222.637,202.058,241.179,344,true
baseline,tokenize_comments,5,4291.469,2908.262,4398.499,2464,true
baseline-control,tokenize_comments,3,4301.141,3172.874,4580.684,2464,true
before,tokenize_comments,1,1612.092,1612.092,1612.092,2464,true
current,tokenize_comments,5,1459.073,1143.633,1541.395,736,true
baseline,tokenize_custom,5,1901.893,1448.846,2144.501,600,true
baseline-control,tokenize_custom,3,2316.579,1610.314,2339.098,600,true
before,tokenize_custom,1,406.846,406.846,406.846,632,true
current,tokenize_custom,5,332.528,311.649,382.781,392,true
baseline,tokenize_dense_concat_1024,5,58907.186,40100.797,61651.815,7960,true
baseline-control,tokenize_dense_concat_1024,3,64320.206,49647.423,67387.5,7960,true
before,tokenize_dense_concat_1024,1,19422.993,19422.993,19422.993,7960,true
current,tokenize_dense_concat_1024,5,16627.414,14037.886,17665.368,7864,true
baseline,tokenize_dense_concat_256,5,14382.529,10829.544,15469.513,2200,true
baseline-control,tokenize_dense_concat_256,3,15972.84,13519.543,17948.018,2200,true
before,tokenize_dense_concat_256,1,5664.013,5664.013,5664.013,2200,true
current,tokenize_dense_concat_256,5,4230.508,3880.108,5868.915,2104,true
baseline,tokenize_dense_concat_4096,5,233728.125,163594.531,246722.656,31000,true
baseline-control,tokenize_dense_concat_4096,3,252256.716,173368.367,258933.065,31000,true
before,tokenize_dense_concat_4096,1,84448.963,84448.963,84448.963,31000,true
current,tokenize_dense_concat_4096,5,60148.996,55840.331,81718.612,30904,true
baseline,tokenize_dense_concat_8192,5,454358.462,322577.778,509137.5,61720,true
baseline-control,tokenize_dense_concat_8192,3,489705.97,313122.449,493697.015,61720,true
before,tokenize_dense_concat_8192,1,162790.083,162790.083,162790.083,61720,true
current,tokenize_dense_concat_8192,5,131089.423,107536.453,142589.167,61624,true
baseline,tokenize_hash_identifiers,5,66965.3,66526.727,75229.08,65528,true
baseline-control,tokenize_hash_identifiers,3,62453.333,59108.116,66057.714,65528,true
before,tokenize_hash_identifiers,1,8760.814,8760.814,8760.814,16576,true
current,tokenize_hash_identifiers,5,7563.448,7452.381,8418.113,1984,true
baseline,tokenize_hash_rows,5,1903781.818,1509652.941,2103481.818,331144,true
baseline-control,tokenize_hash_rows,3,1880691.667,1806591.667,1964500,331144,true
before,tokenize_hash_rows,1,11182.278,11182.278,11182.278,5768,true
current,tokenize_hash_rows,5,11478.084,9734.954,12463.415,3176,true
