version,case,fork,ns,bytes
baseline-control,tokenize_tiny,1,104.914,200
baseline-control,tokenize_tiny,2,103.828,200
baseline-control,tokenize_tiny,3,96.509,200
baseline-control,walk_bounds_simple,1,1731.998,0
baseline-control,walk_bounds_simple,2,1269.021,0
baseline-control,walk_bounds_simple,3,1373.928,0
baseline-control,tokenize_comments,1,4580.684,2464
baseline-control,tokenize_comments,2,3172.874,2464
baseline-control,tokenize_comments,3,4301.141,2464
baseline-control,index_sensitive,1,434.656,480
baseline-control,index_sensitive,2,447.884,600
baseline-control,index_sensitive,3,387.809,480
baseline-control,index_custom_composite,1,1450.483,792
baseline-control,index_custom_composite,2,1928.642,864
baseline-control,index_custom_composite,3,1508.178,792
baseline-control,read_insert_large,1,431815.909,357376
baseline-control,read_insert_large,2,321525,357376
baseline-control,read_insert_large,3,317723.81,357376
baseline-control,tokenize_unicode,1,919.638,1088
baseline-control,tokenize_unicode,2,904.289,1088
baseline-control,tokenize_unicode,3,862.181,1088
baseline-control,tokenize_array,1,10313.676,4248
baseline-control,tokenize_array,2,10318.876,4248
baseline-control,tokenize_array,3,10401.995,4248
baseline-control,tokenize_large,1,79315.152,38120
baseline-control,tokenize_large,2,57496.709,38120
baseline-control,tokenize_large,3,83410.39,38120
baseline-control,tokenize_keep_comments,1,5701.728,3504
baseline-control,tokenize_keep_comments,2,4329.097,3504
baseline-control,tokenize_keep_comments,3,6186.619,3504
baseline-control,config_custom,1,3421.534,10288
baseline-control,config_custom,2,3087.624,10288
baseline-control,config_custom,3,3336.5,10288
baseline-control,tokenize_dense_concat_1024,1,64320.206,7960
baseline-control,tokenize_dense_concat_1024,2,49647.423,7960
baseline-control,tokenize_dense_concat_1024,3,67387.5,7960
baseline-control,index_composite,1,2587.741,2256
baseline-control,index_composite,2,3232.688,2592
baseline-control,index_composite,3,2682.945,2256
baseline-control,index_custom_separator,1,2121.774,968
baseline-control,index_custom_separator,2,2676.374,1112
baseline-control,index_custom_separator,3,2092.532,968
baseline-control,walk_bounds_hash,1,153633.577,127008
baseline-control,walk_bounds_hash,2,137892.742,127008
baseline-control,walk_bounds_hash,3,123464.118,127008
baseline-control,tokenize_simple,1,1642.387,1216
baseline-control,tokenize_simple,2,1197.335,1216
baseline-control,tokenize_simple,3,1559.694,1216
baseline-control,read_mutation,1,319.83,520
baseline-control,read_mutation,2,321.254,520
baseline-control,read_mutation,3,328.325,520
baseline-control,index_from_inside_quote,1,390.957,464
baseline-control,index_from_inside_quote,2,409.65,512
baseline-control,index_from_inside_quote,3,337.19,464
baseline-control,next_quote,1,36511.86,8760
baseline-control,next_quote,2,35491.493,8760
