version,case,forks,median_ns,min_fork_ns,max_fork_ns,bytes_per_op,equivalent_results
baseline,positional_naming_KEBAB_CASE,5,4363.935,4215.393,5459.47,5888,true
before,positional_naming_KEBAB_CASE,5,4294.949,4120.515,4771.317,6696,true
current,positional_naming_KEBAB_CASE,5,3271.232,3017.715,3330.548,3648,true
baseline,positional_naming_NO_CHANGE,5,3243.822,3140.544,4586.205,4928,true
before,positional_naming_NO_CHANGE,5,3183.55,3069.573,3695.898,4928,true
current,positional_naming_NO_CHANGE,5,1984.222,1890.152,2114.867,1880,true
baseline,positional_naming_SCREAMING_SNAKE_CASE,5,4547.047,4254.18,5483.249,5904,true
before,positional_naming_SCREAMING_SNAKE_CASE,5,4214.201,4119.682,4423.319,6712,true
current,positional_naming_SCREAMING_SNAKE_CASE,5,3205.333,2981.979,3314.831,3664,true
baseline,positional_naming_UPPER_CAMEL_CASE,5,4541.279,4324.624,4974.043,5888,true
before,positional_naming_UPPER_CAMEL_CASE,5,4593.569,4369.263,4879.377,6424,true
current,positional_naming_UPPER_CAMEL_CASE,5,3415.341,3097.179,3647.914,3376,true
baseline,positional_nested,5,1214.983,1158.059,1637.627,2952,true
before,positional_nested,5,1126.257,1109.116,1177.575,3120,true
current,positional_nested,5,946.145,850.17,1285.515,1704,true
baseline,positional_pagination,5,988.238,954.367,1141.463,3288,true
before,positional_pagination,5,944.168,917.958,977.905,3408,true
current,positional_pagination,5,759.301,692.793,786.495,1824,true
baseline,positional_raw_expression,5,1571.028,1495.408,2145.053,2624,true
before,positional_raw_expression,5,1036.94,998.837,1129.469,2616,true
current,positional_raw_expression,5,953.534,918.369,1092.081,1744,true
baseline,positional_repeated_names,5,16276.412,14877.764,18273.609,30360,true
before,positional_repeated_names,5,15317.945,14991.926,15831.971,35520,true
current,positional_repeated_names,5,11671.124,11613.535,12742.122,17240,true
baseline,positional_retry_rollback,5,3191.668,2970.528,4283.854,5872,true
before,positional_retry_rollback,5,3101.773,2994.799,3200.534,6040,true
current,positional_retry_rollback,5,2542.841,2469.078,2784.418,3864,true
baseline,positional_row_in,5,982.059,909.561,1081.812,2624,true
before,positional_row_in,5,901.468,884.369,977.553,2752,true
current,positional_row_in,5,720.487,704.019,763.028,1608,true
baseline,positional_select_columns,5,849.344,797.387,1147.228,1952,true
before,positional_select_columns,5,808.76,779.979,836.418,2104,true
current,positional_select_columns,5,609.281,591.286,685.515,1216,true
baseline,positional_select_entity,5,605.194,584.824,692.105,2000,true
before,positional_select_entity,5,587.19,567.961,601.982,1992,true
current,positional_select_entity,5,543.741,496.929,565.45,1304,true
baseline,positional_select_expressions,5,2095.419,1977.03,2660.402,2728,true
before,positional_select_expressions,5,1563.411,1479.594,1597.906,2512,true
current,positional_select_expressions,5,1427.483,1409.548,1675.69,1936,true
baseline,positional_select_star,5,288.214,279.209,349.615,1424,true
before,positional_select_star,5,246.177,242.187,248.479,1240,true
current,positional_select_star,5,223.134,213.399,246.444,880,true
baseline,positional_subquery_raw,5,631.621,604.072,818.284,2272,true
before,positional_subquery_raw,5,637.642,618.764,671.108,2352,true
current,positional_subquery_raw,5,496.156,473.135,529.704,1344,true
baseline,positional_subquery_structured,5,1450.369,1408.039,2173.988,4704,true
